name,category,description,price,image,variants
Lassi,Drinks (Beverages),"Lassi is a traditional yogurt-based beverage. It's known for its creamy texture and refreshing qualities, making it a favored drink.",170,3411/sweet-lassi3.jpg,
Barbeque Full Fish (Large),Arabian Garden Specials,"BBQ full fish is a flavorful and simple way to prepare a whole fish on the grill. Grilling the whole fish enhances its natural flavors while giving it a smoky, charred exterior and juicy, tender flesh.",2270,3411/BBQ-Full-Fish.jpeg,
Barbeque Full Fish (Small),Arabian Garden Specials,"BBQ full fish is a flavorful and simple way to prepare a whole fish on the grill. Grilling the whole fish enhances its natural flavors while giving it a smoky, charred exterior and juicy, tender flesh.",1325,3411/BBQ-Full-Fish.jpeg,
Tandoori Full Fish (Small),Arabian Garden Specials,"Tandoori Full Fish is marinated in a flavorful blend of yogurt and spices, giving it a rich, aromatic flavor, before being cooked in the tandoor.&nbsp;",1320,3411/Tandoori-Full-Fish.jpeg,
Tandoori Full Fish (Large),Arabian Garden Specials,"Tandoori Full Fish is marinated in a flavorful blend of yogurt and spices, giving it a rich, aromatic flavor, before being cooked in the tandoor.&nbsp;",2270,3411/Tandoori-Full-Fish.jpeg,
Jumbo Prawn,Arabian Garden Specials,"Jumbo prawns are a popular choice for special occasions because of their impressive size and rich flavor. They’re often seasoned with garlic, herbs, or spicy rubs and can be cooked in a variety of ways, including grilling, broiling, or even deep frying.",1890,3411/Tandoori-Jumbo-Prawn.jpeg,
Tiger Prawn,Arabian Garden Specials,"Tiger prawns have a sweet, delicate flavor with a slight brininess, which is typical of most shrimp and prawns.",1130,3411/Tandoori-Tiger-Prawn.jpeg,
Squid,Arabian Garden Specials,"Squid are rich in protein, low in fat, and a good source of vitamins like B12, and minerals such as iron and selenium.",1130,3411/Chilli-Squid.jpeg,
Mussels,Arabian Garden Specials,"Mussels are a type of shellfish found in both freshwater and saltwaters.&nbsp;They're also nutritious, offering a good source of protein, omega-3 fatty acids, and essential minerals.",1130,3411/Mussels.jpeg,
Sea Food Soup,Soups and Salad,"<b data-start=""0"" data-end=""16"">Seafood Soup</b> is a delicious, aromatic dish that combines various types of seafood with fresh vegetables, herbs, and spices.&nbsp;",295,3411/Sea-Food-Soup.jpg,
Arabian Spl Tikka,Starters,"<b data-start=""0"" data-end=""25"">Arabian Special Tikka</b> is a flavorful and tender grilled chicken dish marinated in a blend of Middle Eastern spices, yogurt, and herbs. The marinade gives the chicken a unique and aromatic flavor.",550,3411/Arabian-Tikka.jpg,
Boiled Egg (Set),Starters,Boiled eggs are an excellent source of high-quality protein.,65,3411/Boiled-Egg-set.jpg,
Egg Masala,Starters,Egg masala is a flavorful Indian dish made with hard-boiled eggs cooked in a rich and aromatic spiced tomato-based gravy.,290,3411/Egg-masala.jpg,
Tandoori Chilli Parotta,Breads,"<b data-start=""0"" data-end=""27"">Tandoori Chilli Parotta</b> is a delicious and spicy Indian flatbread made from parotta (a layered, flaky flatbread) combined with green chilies and spices.&nbsp;",250,3411/Chilli-Parotta.jpg,
Arabian Roti,Breads,"Arabian Roti is similar to other types of flatbreads such as <b>naan</b> or <b>chapati</b>, but it has its own distinct characteristics.&nbsp;",200,3411/Arabian-Roti.jpg,
Plain Dum Biriyani,Rice and Biryani,"<b data-start=""0"" data-end=""21"">Plain Dum Biryani</b> is a fragrant and flavorful rice dish that is made with aromatic basmati rice, layered with spices, and cooked using the ""dum"" method.",255,3411/Plain-dum-biriyani.JPG,
Egg Biriyani,Rice and Biryani,"<b data-start=""0"" data-end=""15"">Egg Biryani</b> is a flavorful, comforting dish that combines perfectly cooked rice with aromatic spices and hard-boiled eggs.&nbsp;",292,3411/instant-pot-egg-biryani.jpg,
Mixed Fried Rice,Fried Rice and Noodles,"<b data-start=""0"" data-end=""20"">Mixed Fried Rice</b> is a simple, versatile, and flavorful dish that can be made with a variety of proteins, vegetables, and rice.&nbsp;",570,3411/Mixed-Fried-Rice.jpg,
Singapore Mixed Fried Rice,Fried Rice and Noodles,"<b data-start=""0"" data-end=""30"">Singapore Mixed Fried Rice</b> is a vibrant and flavorful dish that combines fried rice with a variety of vegetables, proteins (like chicken,shrimp and eggs), and is flavored with a curry powder or spice mix,which gives it a distinct, slightly spicy, and aromatic taste.",600,3411/singapore-fried-rice-recipe.jpg,
Mixed Noodles,Fried Rice and Noodles,"<b data-start=""0"" data-end=""17"">Mixed Noodles</b> is a versatile and delicious dish that combines a variety of vegetables, proteins (like chicken or shrimp) and noodles stir-fried together in a savory sauce.",560,3411/asian-chow-mein-noodles-with-chicken-meat-vegetables-popular-oriental-cuisine-dish-stock-photo_285336-2028.jpg,
Hakka Non Veg Noodles,Fried Rice and Noodles,"<b data-start=""0"" data-end=""25"">Hakka Non-Veg Noodles</b> is a popular Indo-Chinese dish, known for its savory, stir-fried noodles mixed with a variety of vegetables and protein.&nbsp;(usually chicken or shrimp).",560,3411/Hakka-Non-veg-Noodles.jpeg,
Ice cream,Snacks,"Ice cream is a beloved frozen dessert made from milk or cream, sweeteners, and various flavorings. Its creamy texture and diverse flavors have made it a global favorite.",150,3411/Ice-Cream-photo.jpg,
Mutton Mandi (Full),Continental,"<b>Mutton Mandi</b> is a rich, flavorful, and aromatic dish that combines tender mutton (lamb or goat meat) with seasoned rice, cooked together to create a delicious one-pot meal.",2485,3411/Mutton-mandi.jpg,
Jumbo Prawns Mandi (Half),Continental,"<span style=""font-weight: 700; color: rgb(68, 68, 68); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 15px; background-color: rgb(240, 240, 240);"">Jumbo Prawns Mandi</span><span style=""color: rgb(68, 68, 68); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 15px; background-color: rgb(240, 240, 240);"">&nbsp;is a flavorful and aromatic dish.The prawns are marinated with a blend of spices and then cooked along with fragrant rice, creating a hearty and delicious one-pot meal.</span>",1775,3411/Jumbo-Prawns-mandi.jpg,
Jumbo Prawns Mandi (Full),Continental,"<b>Jumbo Prawns Mandi</b> is a flavorful and aromatic dish.The prawns are marinated with a blend of spices and then cooked along with fragrant rice, creating a hearty and delicious one-pot meal.",2665,3411/Jumbo-Prawns-mandi.jpg,
Fish Mandi (Half),Continental,"<span style=""font-weight: 700;"">Fish Mandi</span>&nbsp;is&nbsp;often cooked in a one-pot dish,The fish is cooked along with the rice, ensuring that the spices and seasonings seep into both the fish and rice for a deliciously savory meal.",1775,3411/Full-Fish-mandi.jpg,
Fish Mandi (Full),Continental,"<b>Fish Mandi</b> is&nbsp;often cooked in a one-pot dish,The fish is cooked along with the rice, ensuring that the spices and seasonings seep into both the fish and rice for a deliciously savory meal.",2665,3411/Full-Fish-mandi.jpg,
Apple Juice,Drinks (Beverages),"<b>Apple juice</b> is a popular, refreshing drink that offers a variety of health benefits. While it’s important to drink it in moderation due to its natural sugar content, apple juice can be a nutritious addition to your diet.&nbsp;",210,3411/Apple-Juice-Square.jpeg,
Buttermilk,Drinks (Beverages),"Buttermilk known for its slightly tangy flavor and is often served to aid digestion, particularly during hot weather. It’s a popular choice due to its health benefits, lightness, and digestive properties.",140,3411/Butter-Milk.jpg,
